comp,compID_num,comp_name_simple,comp_name_full,specie.A,specie.B1,specie.B2,specie.X,element.A,element.B1,element.B2,element.X,r_ionic.A,r_ionic.B1,r_ionic.B2,r_ionic.X,oct_factor,oct_mismatch,gen_t_factor,geom_stable,broken_condition,tau_factor,block.B1,row.B1,inputcharge.B1,block.B2,row.B2,inputcharge.B2,used_lobbasis,used_lobbasis_func,block_pairing
1698_CsTiGeCl,1698,CsTiGeCl,Cs2TiGeCl6,Cs+,Ti2+,Ge2+,Cl-,Cs,Ti,Ge,Cl,188.0,86.0,73.0,181.0,0.4392265193370165,0.0359116022099447,1.001465639022276,False,SL,4.024285327367787,d,4,2,p,4.0,2,basisset0,"{'Ti': ' 3d 3p 3s 4s', 'Ge': ' 3d 4p 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-p
1700_CsAgPCl,1700,CsAgPCl,Cs2AgPCl6,Cs+,Ag+,P3+,Cl-,Cs,Ag,P,Cl,188.0,115.0,44.0,181.0,0.4392265193370165,0.1961325966850828,0.9970033011387074,False,OL,4.024285327367787,d,5,1,p,3.0,3,basisset0,"{'Ag': ' 4d 5s', 'P': ' 3p 3s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-p
1702_CsGePdCl,1702,CsGePdCl,Cs2GePdCl6,Cs+,Ge2+,Pd2+,Cl-,Cs,Ge,Pd,Cl,188.0,73.0,86.0,181.0,0.4392265193370165,0.0359116022099447,1.001465639022276,False,SL,4.024285327367787,p,4,2,d,5.0,2,basisset0,"{'Ge': ' 3d 4p 4s', 'Pd': ' 4d 5s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-p
1701_CsPdPuCl,1701,CsPdPuCl,Cs2PdPuCl6,Cs+,Pd+,Pu3+,Cl-,Cs,Pd,Pu,Cl,188.0,59.0,100.0,181.0,0.4392265193370165,0.1132596685082873,1.0000743687949565,False,SL,4.024285327367787,d,5,1,f,7.0,3,basisset0,"{'Pd': ' 4d 5s', 'Pu': ' 5f 6d 6p 6s 7s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1703_CsVPtCl,1703,CsVPtCl,Cs2VPtCl6,Cs+,V2+,Pt2+,Cl-,Cs,V,Pt,Cl,188.0,79.0,80.0,181.0,0.4392265193370165,0.0027624309392265,1.00162058328563,False,SL,4.024285327367787,d,4,2,d,6.0,2,basisset0,"{'V': ' 3d 3p 3s 4s', 'Pt': ' 5d 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d
1704_CsTlTbCl,1704,CsTlTbCl,Cs2TlTbCl6,Cs+,Tl+,Tb3+,Cl-,Cs,Tl,Tb,Cl,188.0,150.0,92.3,181.0,0.6693370165745857,0.1593922651933701,0.8615910240377327,True,,4.02553843241782,p,6,1,f,6.0,3,basisset0,"{'Tl': ' 5d 6p 6s', 'Tb': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-p
1705_CsCdRaCl,1705,CsCdRaCl,Cs2CdRaCl6,Cs+,Cd2+,Ra2+,Cl-,Cs,Cd,Ra,Cl,188.0,95.0,148.0,181.0,0.6712707182320442,0.1464088397790055,0.8609032614311896,True,,4.034332591003,d,5,2,s,7.0,2,basisset0,"{'Cd': ' 4d 5s', 'Ra': ' 6p 6s 7s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1706_CsSmAmCl,1706,CsSmAmCl,Cs2SmAmCl6,Cs+,Sm2+,Am2+,Cl-,Cs,Sm,Am,Cl,188.0,122.0,121.0,181.0,0.6712707182320442,0.0027624309392265,0.862552806758701,True,,4.034332591003,f,6,2,f,7.0,2,basisset0,"{'Sm': ' 4f 5p 5s 6s', 'Am': ' 5f 6d 6p 6s 7s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-f
1707_CsPdPrCl,1707,CsPdPrCl,Cs2PdPrCl6,Cs+,Pd+,Pr3+,Cl-,Cs,Pd,Pr,Cl,188.0,59.0,99.0,181.0,0.43646408839779,0.1104972375690607,1.002066448965134,False,SL,4.03596392500951,d,5,1,f,6.0,3,basisset0,"{'Pd': ' 4d 5s', 'Pr': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1708_CsMgPdCl,1708,CsMgPdCl,Cs2MgPdCl6,Cs+,Mg2+,Pd2+,Cl-,Cs,Mg,Pd,Cl,188.0,72.0,86.0,181.0,0.43646408839779,0.0386740331491712,1.0033658945013848,False,SL,4.03596392500951,s,3,2,d,5.0,2,basisset0,"{'Mg': ' 3s', 'Pd': ' 4d 5s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1709_CsMgTiCl,1709,CsMgTiCl,Cs2MgTiCl6,Cs+,Mg2+,Ti2+,Cl-,Cs,Mg,Ti,Cl,188.0,72.0,86.0,181.0,0.43646408839779,0.0386740331491712,1.0033658945013848,False,SL,4.03596392500951,s,3,2,d,4.0,2,basisset0,"{'Mg': ' 3s', 'Ti': ' 3d 3p 3s 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1710_CsRbDyCl,1710,CsRbDyCl,Cs2RbDyCl6,Cs+,Rb+,Dy3+,Cl-,Cs,Rb,Dy,Cl,188.0,152.0,91.2,181.0,0.6718232044198895,0.1679558011049723,0.8601008847003956,True,,4.036880033279786,s,5,1,f,6.0,3,basisset0,"{'Rb': ' 4p 4s', 'Dy': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1711_CsTlGdCl,1711,CsTlGdCl,Cs2TlGdCl6,Cs+,Tl+,Gd3+,Cl-,Cs,Tl,Gd,Cl,188.0,150.0,93.8,181.0,0.6734806629834255,0.1552486187845304,0.8595669084063247,True,,4.044615996121261,p,6,1,f,6.0,3,basisset0,"{'Tl': ' 5d 6p 6s', 'Gd': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-p
1712_CsFrVCl,1712,CsFrVCl,Cs2FrVCl6,Cs+,Fr+,V3+,Cl-,Cs,Fr,V,Cl,188.0,180.0,64.0,181.0,0.6740331491712708,0.3204419889502762,0.8533485714064831,False,OL,4.047226035685454,s,7,1,d,4.0,3,basisset0,"{'Fr': ' 6p 6s 7s', 'V': ' 3d 3p 3s 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1713_CsCuInCl,1713,CsCuInCl,Cs2CuInCl6,Cs+,Cu+,In3+,Cl-,Cs,Cu,In,Cl,188.0,77.0,80.0,181.0,0.4337016574585635,0.0082872928176795,1.0054729201295365,False,SL,4.047958083425639,d,4,1,p,5.0,3,basisset0,"{'Cu': ' 3d 4s', 'In': ' 4d 5p 5s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-p
1714_CsRbTbCl,1714,CsRbTbCl,Cs2RbTbCl6,Cs+,Rb+,Tb3+,Cl-,Cs,Rb,Tb,Cl,188.0,152.0,92.3,181.0,0.6748618784530387,0.1649171270718231,0.858625249455659,True,,4.051170699535718,s,5,1,f,6.0,3,basisset0,"{'Rb': ' 4p 4s', 'Tb': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1715_CsCrPtCl,1715,CsCrPtCl,Cs2CrPtCl6,Cs+,Cr2+,Pt2+,Cl-,Cs,Cr,Pt,Cl,188.0,76.5,80.0,181.0,0.4323204419889502,0.0096685082872928,1.0064394600851791,False,SL,4.0540746178899845,d,4,2,d,6.0,2,basisset0,"{'Cr': ' 3d 3p 4s', 'Pt': ' 5d 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d
1716_CsTlEuCl,1716,CsTlEuCl,Cs2TlEuCl6,Cs+,Tl+,Eu3+,Cl-,Cs,Tl,Eu,Cl,188.0,150.0,94.7,181.0,0.6759668508287292,0.1527624309392265,0.8583555029897846,True,,4.056485792962823,p,6,1,f,6.0,3,basisset0,"{'Tl': ' 5d 6p 6s', 'Eu': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-p
1717_CsNaCuCl,1717,CsNaCuCl,Cs2NaCuCl6,Cs+,Na+,Cu3+,Cl-,Cs,Na,Cu,Cl,188.0,102.0,54.0,181.0,0.430939226519337,0.1325966850828729,1.0052667493577845,False,SL,4.060271403247239,s,3,1,d,4.0,3,basisset0,"{'Na': ' 2p 3s', 'Cu': ' 3d 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1718_CsPdPmCl,1718,CsPdPmCl,Cs2PdPmCl6,Cs+,Pd+,Pm3+,Cl-,Cs,Pd,Pm,Cl,188.0,59.0,97.0,181.0,0.430939226519337,0.1049723756906077,1.0060697572531887,False,SL,4.060271403247239,d,5,1,f,6.0,3,basisset0,"{'Pd': ' 4d 5s', 'Pm': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1719_CsLiInCl,1719,CsLiInCl,Cs2LiInCl6,Cs+,Li+,In3+,Cl-,Cs,Li,In,Cl,188.0,76.0,80.0,181.0,0.430939226519337,0.011049723756906,1.0074073848765437,False,SL,4.060271403247239,s,2,1,p,5.0,3,basisset0,"{'Li': ' 1s 2s', 'In': ' 4d 5p 5s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",p-s
1720_CsPdCmCl,1720,CsPdCmCl,Cs2PdCmCl6,Cs+,Pd+,Cm3+,Cl-,Cs,Pd,Cm,Cl,188.0,59.0,97.0,181.0,0.430939226519337,0.1049723756906077,1.0060697572531887,False,SL,4.060271403247239,d,5,1,f,7.0,3,basisset0,"{'Pd': ' 4d 5s', 'Cm': ' 5f 6d 6p 6s 7s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1721_CsBaNpCl,1721,CsBaNpCl,Cs2BaNpCl6,Cs+,Ba2+,Np2+,Cl-,Cs,Ba,Np,Cl,188.0,135.0,110.0,181.0,0.6767955801104972,0.0690607734806629,0.8593470244925954,True,,4.060514005025899,s,6,2,f,7.0,2,basisset0,"{'Ba': ' 5p 5s 6s', 'Np': ' 5f 6d 6p 6s 7s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1723_CsTiCoCl,1723,CsTiCoCl,Cs2TiCoCl6,Cs+,Ti2+,Co2+,Cl-,Cs,Ti,Co,Cl,188.0,86.0,69.75,181.0,0.4302486187845304,0.0448895027624309,1.0076607218243745,False,SL,4.063400036919347,d,4,2,d,4.0,2,basisset0,"{'Ti': ' 3d 3p 3s 4s', 'Co': ' 3d 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d
1725_CsVCrCl,1725,CsVCrCl,Cs2VCrCl6,Cs+,V2+,Cr2+,Cl-,Cs,V,Cr,Cl,188.0,79.0,76.5,181.0,0.4295580110497237,0.0069060773480662,1.0083898741432598,False,SL,4.0665489106811,d,4,2,d,4.0,2,basisset0,"{'V': ' 3d 3p 3s 4s', 'Cr': ' 3d 3p 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d
1726_CsFePdCl,1726,CsFePdCl,Cs2FePdCl6,Cs+,Fe2+,Pd2+,Cl-,Cs,Fe,Pd,Cl,188.0,69.5,86.0,181.0,0.4295580110497237,0.0455801104972375,1.008139573121734,False,SL,4.0665489106811,d,4,2,d,5.0,2,basisset0,"{'Fe': ' 3d 4s', 'Pd': ' 4d 5s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d
1727_CsNaAlCl,1727,CsNaAlCl,Cs2NaAlCl6,Cs+,Na+,Al3+,Cl-,Cs,Na,Al,Cl,188.0,102.0,53.5,181.0,0.4295580110497237,0.1339779005524861,1.0061887379177337,False,SL,4.0665489106811,s,3,1,p,3.0,3,basisset0,"{'Na': ' 2p 3s', 'Al': ' 3p 3s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",p-s
1728_CsRbGdCl,1728,CsRbGdCl,Cs2RbGdCl6,Cs+,Rb+,Gd3+,Cl-,Cs,Rb,Gd,Cl,188.0,152.0,93.8,181.0,0.6790055248618785,0.1607734806629834,0.8566184533820651,True,,4.071432957490793,s,5,1,f,6.0,3,basisset0,"{'Rb': ' 4p 4s', 'Gd': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1729_CsTlSmCl,1729,CsTlSmCl,Cs2TlSmCl6,Cs+,Tl+,Sm3+,Cl-,Cs,Tl,Sm,Cl,188.0,150.0,95.8,181.0,0.6790055248618785,0.1497237569060773,0.8568780166411613,True,,4.071432957490793,p,6,1,f,6.0,3,basisset0,"{'Tl': ' 5d 6p 6s', 'Sm': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-p
1730_CsMnPtCl,1730,CsMnPtCl,Cs2MnPtCl6,Cs+,Mn2+,Pt2+,Cl-,Cs,Mn,Pt,Cl,188.0,75.0,80.0,181.0,0.4281767955801105,0.0138121546961325,1.0093473939711064,False,SL,4.072907620015913,d,4,2,d,6.0,2,basisset0,"{'Mn': ' 3d 3p 4s', 'Pt': ' 5d 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d
1731_CsPbVacCl,1731,CsPbVacCl,Cs2PbVacCl6,Cs+,Pb4+,,Cl-,Cs,Pb,,Cl,188.0,77.5,,181.0,0.4281767955801105,0.0,1.0093709951947234,False,SL,4.072907620015913,p,6,4,Vac,,0,basisset0,"{'Pb': ' 5d 6p 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",Vac-p
1732_CsNiPdCl,1732,CsNiPdCl,Cs2NiPdCl6,Cs+,Ni2+,Pd2+,Cl-,Cs,Ni,Pd,Cl,188.0,69.0,86.0,181.0,0.4281767955801105,0.0469613259668508,1.0090982660561745,False,SL,4.072907620015913,d,4,2,d,5.0,2,basisset0,"{'Ni': ' 3d 4s', 'Pd': ' 4d 5s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d
1733_CsTiNiCl,1733,CsTiNiCl,Cs2TiNiCl6,Cs+,Ti2+,Ni2+,Cl-,Cs,Ti,Ni,Cl,188.0,86.0,69.0,181.0,0.4281767955801105,0.0469613259668508,1.0090982660561745,False,SL,4.072907620015913,d,4,2,d,4.0,2,basisset0,"{'Ti': ' 3d 3p 3s 4s', 'Ni': ' 3d 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d
1734_CsBeNpCl,1734,CsBeNpCl,Cs2BeNpCl6,Cs+,Be2+,Np2+,Cl-,Cs,Be,Np,Cl,188.0,45.0,110.0,181.0,0.4281767955801105,0.1795580110497238,1.0054057374404026,False,SL,4.072907620015913,s,2,2,f,7.0,2,basisset0,"{'Be': ' 2s', 'Np': ' 5f 6d 6p 6s 7s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1735_CsNdEuCl,1735,CsNdEuCl,Cs2NdEuCl6,Cs+,Nd2+,Eu2+,Cl-,Cs,Nd,Eu,Cl,188.0,129.0,117.0,181.0,0.6795580110497238,0.0331491712707182,0.8582138021362784,True,,4.074203236321984,f,6,2,f,6.0,2,basisset0,"{'Nd': ' 4f 5p 5s 6s', 'Eu': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-f
1736_CsFrRhCl,1736,CsFrRhCl,Cs2FrRhCl6,Cs+,Fr+,Rh3+,Cl-,Cs,Fr,Rh,Cl,188.0,180.0,66.5,181.0,0.680939226519337,0.3135359116022099,0.8502288630789303,False,OL,4.081200497878712,s,7,1,d,5.0,3,basisset0,"{'Fr': ' 6p 6s 7s', 'Rh': ' 4d 4p 5s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1737_CsRbEuCl,1737,CsRbEuCl,Cs2RbEuCl6,Cs+,Rb+,Eu3+,Cl-,Cs,Rb,Eu,Cl,188.0,152.0,94.7,181.0,0.6814917127071823,0.1582872928176796,0.8554173851686149,True,,4.084028178949766,s,5,1,f,6.0,3,basisset0,"{'Rb': ' 4p 4s', 'Eu': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1738_CsKNCl,1738,CsKNCl,Cs2KNCl6,Cs+,K+,N3+,Cl-,Cs,K,N,Cl,188.0,138.0,16.0,181.0,0.425414364640884,0.3370165745856354,0.997483113139209,False,OL,4.085870607543159,s,4,1,p,2.0,3,basisset0,"{'K': ' 3p 3s 4s', 'N': ' 2p 2s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",p-s
1739_CsZnPtCl,1739,CsZnPtCl,Cs2ZnPtCl6,Cs+,Zn2+,Pt2+,Cl-,Cs,Zn,Pt,Cl,188.0,74.0,80.0,181.0,0.425414364640884,0.0165745856353591,1.011292957331638,False,SL,4.085870607543159,d,4,2,d,6.0,2,basisset0,"{'Zn': ' 3d 4s', 'Pt': ' 5d 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d
1740_CsVMnCl,1740,CsVMnCl,Cs2VMnCl6,Cs+,V2+,Mn2+,Cl-,Cs,V,Mn,Cl,188.0,79.0,75.0,181.0,0.425414364640884,0.011049723756906,1.0113119475718189,False,SL,4.085870607543159,d,4,2,d,4.0,2,basisset0,"{'V': ' 3d 3p 3s 4s', 'Mn': ' 3d 3p 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d
1741_CsTlPmCl,1741,CsTlPmCl,Cs2TlPmCl6,Cs+,Tl+,Pm3+,Cl-,Cs,Tl,Pm,Cl,188.0,150.0,97.0,181.0,0.6823204419889503,0.1464088397790055,0.8552701272084733,True,,4.088300713764083,p,6,1,f,6.0,3,basisset0,"{'Tl': ' 5d 6p 6s', 'Pm': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-p
1742_CsTlCmCl,1742,CsTlCmCl,Cs2TlCmCl6,Cs+,Tl+,Cm3+,Cl-,Cs,Tl,Cm,Cl,188.0,150.0,97.0,181.0,0.6823204419889503,0.1464088397790055,0.8552701272084733,True,,4.088300713764083,p,6,1,f,7.0,3,basisset0,"{'Tl': ' 5d 6p 6s', 'Cm': ' 5f 6d 6p 6s 7s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-p
1743_CsFrTiCl,1743,CsFrTiCl,Cs2FrTiCl6,Cs+,Fr+,Ti3+,Cl-,Cs,Fr,Ti,Cl,188.0,180.0,67.0,181.0,0.6823204419889503,0.3121546961325966,0.849606483760484,False,OL,4.088300713764083,s,7,1,d,4.0,3,basisset0,"{'Fr': ' 6p 6s 7s', 'Ti': ' 3d 3p 3s 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1744_CsSrNdCl,1744,CsSrNdCl,Cs2SrNdCl6,Cs+,Sr2+,Nd2+,Cl-,Cs,Sr,Nd,Cl,188.0,118.0,129.0,181.0,0.6823204419889503,0.0303867403314917,0.8568181391288556,True,,4.088300713764083,s,5,2,f,6.0,2,basisset0,"{'Sr': ' 4p 4s 5s', 'Nd': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1745_CsTlAmCl,1745,CsTlAmCl,Cs2TlAmCl6,Cs+,Tl+,Am3+,Cl-,Cs,Tl,Am,Cl,188.0,150.0,97.5,181.0,0.6837016574585635,0.1450276243093922,0.8546013784172954,True,,4.095504797035991,p,6,1,f,7.0,3,basisset0,"{'Tl': ' 5d 6p 6s', 'Am': ' 5f 6d 6p 6s 7s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-p
1746_CsCuSbCl,1746,CsCuSbCl,Cs2CuSbCl6,Cs+,Cu+,Sb3+,Cl-,Cs,Cu,Sb,Cl,188.0,77.0,76.0,181.0,0.4226519337016574,0.0027624309392265,1.013289927432213,False,SL,4.099164381427011,d,4,1,p,5.0,3,basisset0,"{'Cu': ' 3d 4s', 'Sb': ' 5p 5s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-p
1747_CsCuPtCl,1747,CsCuPtCl,Cs2CuPtCl6,Cs+,Cu2+,Pt2+,Cl-,Cs,Cu,Pt,Cl,188.0,73.0,80.0,181.0,0.4226519337016574,0.0193370165745856,1.0132440847286766,False,SL,4.099164381427011,d,4,2,d,6.0,2,basisset0,"{'Cu': ' 3d 4s', 'Pt': ' 5d 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d
1748_CsVZnCl,1748,CsVZnCl,Cs2VZnCl6,Cs+,V2+,Zn2+,Cl-,Cs,V,Zn,Cl,188.0,79.0,74.0,181.0,0.4226519337016574,0.0138121546961325,1.0132670053026809,False,SL,4.099164381427011,d,4,2,d,4.0,2,basisset0,"{'V': ' 3d 3p 3s 4s', 'Zn': ' 3d 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-d
1750_CsGePtCl,1750,CsGePtCl,Cs2GePtCl6,Cs+,Ge2+,Pt2+,Cl-,Cs,Ge,Pt,Cl,188.0,73.0,80.0,181.0,0.4226519337016574,0.0193370165745856,1.0132440847286766,False,SL,4.099164381427011,p,4,2,d,6.0,2,basisset0,"{'Ge': ' 3d 4p 4s', 'Pt': ' 5d 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-p
1749_CsAuNCl,1749,CsAuNCl,Cs2AuNCl6,Cs+,Au+,N3+,Cl-,Cs,Au,N,Cl,188.0,137.0,16.0,181.0,0.4226519337016574,0.3342541436464088,0.9995898926254544,False,OL,4.099164381427011,d,6,1,p,2.0,3,basisset0,"{'Au': ' 5d 6s', 'N': ' 2p 2s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-p
1751_CsRbSmCl,1751,CsRbSmCl,Cs2RbSmCl6,Cs+,Rb+,Sm3+,Cl-,Cs,Rb,Sm,Cl,188.0,152.0,95.8,181.0,0.6845303867403315,0.1552486187845304,0.8539524778578583,True,,4.099877489369626,s,5,1,f,6.0,3,basisset0,"{'Rb': ' 4p 4s', 'Sm': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1752_CsPdGdCl,1752,CsPdGdCl,Cs2PdGdCl6,Cs+,Pd+,Gd3+,Cl-,Cs,Pd,Gd,Cl,188.0,59.0,93.8,181.0,0.4220994475138122,0.0961325966850828,1.0125284852935472,False,SL,4.101863194137284,d,5,1,f,6.0,3,basisset0,"{'Pd': ' 4d 5s', 'Gd': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-f
1753_CsCaRaCl,1753,CsCaRaCl,Cs2CaRaCl6,Cs+,Ca2+,Ra2+,Cl-,Cs,Ca,Ra,Cl,188.0,100.0,148.0,181.0,0.6850828729281768,0.1325966850828729,0.8541620897644391,True,,4.102813677317122,s,4,2,s,7.0,2,basisset0,"{'Ca': ' 3p 3s 4s', 'Ra': ' 6p 6s 7s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",s-s
1754_CsFrRuCl,1754,CsFrRuCl,Cs2FrRuCl6,Cs+,Fr+,Ru3+,Cl-,Cs,Fr,Ru,Cl,188.0,180.0,68.0,181.0,0.6850828729281768,0.3093922651933701,0.8483632920421773,False,OL,4.102813677317122,s,7,1,d,5.0,3,basisset0,"{'Fr': ' 6p 6s 7s', 'Ru': ' 4d 4p 5s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1755_CsNdPbCl,1755,CsNdPbCl,Cs2NdPbCl6,Cs+,Nd2+,Pb2+,Cl-,Cs,Nd,Pb,Cl,188.0,129.0,119.0,181.0,0.6850828729281768,0.0276243093922651,0.8554258151774867,True,,4.102813677317122,f,6,2,p,6.0,2,basisset0,"{'Nd': ' 4f 5p 5s 6s', 'Pb': ' 5d 6p 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-p
1756_CsFrIrCl,1756,CsFrIrCl,Cs2FrIrCl6,Cs+,Fr+,Ir3+,Cl-,Cs,Fr,Ir,Cl,188.0,180.0,68.0,181.0,0.6850828729281768,0.3093922651933701,0.8483632920421773,False,OL,4.102813677317122,s,7,1,d,6.0,3,basisset0,"{'Fr': ' 6p 6s 7s', 'Ir': ' 5d 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1757_CsTlNdCl,1757,CsTlNdCl,Cs2TlNdCl6,Cs+,Tl+,Nd3+,Cl-,Cs,Tl,Nd,Cl,188.0,150.0,98.3,181.0,0.6859116022099447,0.142817679558011,0.8535328546016805,True,,4.107249701078932,p,6,1,f,6.0,3,basisset0,"{'Tl': ' 5d 6p 6s', 'Nd': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-p
1758_CsTbVacCl,1758,CsTbVacCl,Cs2TbVacCl6,Cs+,Tb4+,,Cl-,Cs,Tb,,Cl,188.0,76.0,,181.0,0.4198895027624309,0.0,1.0152622655946928,False,SL,4.112793102732373,f,6,4,Vac,,0,basisset0,"{'Tb': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",Vac-f
1759_CsMgPtCl,1759,CsMgPtCl,Cs2MgPtCl6,Cs+,Mg2+,Pt2+,Cl-,Cs,Mg,Pt,Cl,188.0,72.0,80.0,181.0,0.4198895027624309,0.0220994475138121,1.0152007857814145,False,SL,4.112793102732373,s,3,2,d,6.0,2,basisset0,"{'Mg': ' 3s', 'Pt': ' 5d 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1760_CsLiPdCl,1760,CsLiPdCl,Cs2LiPdCl6,Cs+,Li+,Pd3+,Cl-,Cs,Li,Pd,Cl,188.0,76.0,76.0,181.0,0.4198895027624309,0.0,1.0152622655946928,False,SL,4.112793102732373,s,2,1,d,5.0,3,basisset0,"{'Li': ' 1s 2s', 'Pd': ' 4d 5s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-s
1761_CsVGeCl,1761,CsVGeCl,Cs2VGeCl6,Cs+,V2+,Ge2+,Cl-,Cs,V,Ge,Cl,188.0,79.0,73.0,181.0,0.4198895027624309,0.0165745856353591,1.0152276818253998,False,SL,4.112793102732373,d,4,2,p,4.0,2,basisset0,"{'V': ' 3d 3p 3s 4s', 'Ge': ' 3d 4p 4s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",d-p
1762_CsBeDyCl,1762,CsBeDyCl,Cs2BeDyCl6,Cs+,Be2+,Dy2+,Cl-,Cs,Be,Dy,Cl,188.0,45.0,107.0,181.0,0.4198895027624309,0.1712707182320442,1.0115893269644685,False,SL,4.112793102732373,s,2,2,f,6.0,2,basisset0,"{'Be': ' 2s', 'Dy': ' 4f 5p 5s 6s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",f-s
1764_CsLiSbCl,1764,CsLiSbCl,Cs2LiSbCl6,Cs+,Li+,Sb3+,Cl-,Cs,Li,Sb,Cl,188.0,76.0,76.0,181.0,0.4198895027624309,0.0,1.0152622655946928,False,SL,4.112793102732373,s,2,1,p,5.0,3,basisset0,"{'Li': ' 1s 2s', 'Sb': ' 5p 5s', 'Cs': ' 5p 5s', 'Cl': ' 3p 3s'}",p-s
